"","service_date","time","route_id","route_name","trip_freq","trip_freq_adj","sub_route","trip_id","stop_id","departure_terminal","mbta_sched_departure","actual_departure","pax_on","pax_load","pax_off","mbta_sched_arrival","actual_arrival","arrival_terminal","vessel_time_slot","trip_endpoint","travel_direction","ObjectId","week"
"36","2021/08/02","04:00:00+00","F2H","F2H-Hingham/Hull","M-F","Seasonal","F2H-Boston-Georges-Hull-Hingham","13:00-F2H-LWN-HNG","13:35-F2H-HUL-HNG","Hull","2021/08/02 17:35:00+00","2021-08-02 13:37:00",3,21,-19,"2021/08/02 17:50:00+00","2021-08-02 13:52:00","Hingham","Vessel B","Trip Endpoint","From Boston",102782,"Monday"
"37","2021/09/08","04:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hingham-Hull-Boston","05:40-F2H-HNG-LWN","06:00-F2H-HUL-LWN","Hull","2021/09/08 10:00:00+00","2021-09-08 06:00:00",29,35,-30,"2021/09/08 10:25:00+00","2021-09-08 06:25:00","Long Wharf N","Vessel A","Trip Endpoint","To Boston",104219,"Wednesday"
"38","2021/09/10","04:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Boston-Hingham","19:35-F2H-LWN-HNG","19:35-F2H-LWN-HNG","Long Wharf N","2021/09/10 23:35:00+00","2021-09-10 19:35:00",16,16,-16,"2021/09/11 00:15:00+00","2021-09-10 20:08:00","Hingham","Vessel A","Trip Endpoint","From Boston",104473,"Friday"
"39","2021/10/04","04:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Boston-Hull-Hingham","16:30-F2H-LWN-HNG","16:30-F2H-LWN-HUL","Long Wharf N","2021/10/04 20:30:00+00","2021-10-04 16:30:00",24,24,-23,"2021/10/04 20:55:00+00","2021-10-04 16:56:00","Hull","Vessel A","Midpoint","From Boston",105232,"Monday"
"40","2021/11/02","04:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hingham-Boston","14:00-F2H-HNG-LWN","14:00-F2H-HNG-LWN","Hingham","2021/11/02 18:00:00+00","2021-11-02 14:00:00",4,4,-4,"2021/11/02 18:35:00+00","2021-11-02 14:35:00","Long Wharf N","Vessel B","Trip Endpoint","To Boston",106752,"Tuesday"
"41","2021/12/06","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hingham-Hull-Boston","05:40-F2H-HNG-LWN","05:40-F2H-HNG-HUL","Hingham","2021/12/06 10:40:00+00","2021-12-06 05:40:00",4,4,0,"2021/12/06 11:00:00+00","2021-12-06 05:55:00","Hull","Vessel A","Midpoint","To Boston",107262,"Monday"
"42","2021/12/07","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hingham-Boston","10:00-F2H-HNG-LWN","10:00-F2H-HNG-LWN","Hingham","2021/12/07 15:00:00+00","2021-12-07 10:01:00",16,16,-16,"2021/12/07 16:00:00+00","2021-12-07 10:36:00","Long Wharf N","Vessel A","Trip Endpoint","To Boston",107347,"Tuesday"
"43","2021/12/08","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hingham-Boston","16:30-F2H-HNG-LWN","16:30-F2H-HNG-LWN","Hingham","2021/12/08 21:30:00+00","2021-12-08 16:30:00",1,1,-1,"2021/12/08 22:12:00+00","2021-12-08 17:08:00","Long Wharf N","Vessel B","Trip Endpoint","To Boston",107432,"Wednesday"
"44","2021/12/08","05:00:00+00","F2H","F2H-Hingham/Hull","M-F","Covid","F2H-Hull-Boston","08:40-F2H-HUL-LWN","08:40-F2H-HUL-LWN","Hull","2021/12/08 13:40:00+00","2021-12-08 08:40:00",7,7,-7,"2021/12/08 14:03:00+00","2021-12-08 09:06:00","Long Wharf N","Vessel A","Trip Endpoint","To Boston",107600,"Wednesday"
"45","2021/01/08","05:00:00+00","F4","F4-Charlestown","M-F","Covid","F4-Charlestown-Boston","09:00-F4-CNY-LWS","09:00-F4-CNY-LWS","Navy Yard","2021/01/08 14:00:00+00","2021-01-08 09:00:00",0,0,0,"2021/01/08 14:10:00+00","2021-01-08 09:10:00","Long Wharf S","Secondary","Trip Endpoint","To Boston",108449,"Friday"
